REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Forest Khaki;L;96265;96260;21/09/2026;800;;SP403_96265_96260;3663639148795
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Forest Khaki;XL;96265;96261;21/09/2026;356;;SP403_96265_96261;3663639148825
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Forest Khaki;3XL;96265;96263;21/09/2026;100;;SP403_96265_96263;3663639148788
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Wet Sand;XS;96268;96257;21/09/2026;360;;SP403_96268_96257;3663639148900
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Wet Sand;XL;96268;96261;21/09/2026;550;;SP403_96268_96261;3663639148894
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Wet Sand;XXL;96268;96262;21/09/2026;310;;SP403_96268_96262;3663639148917
SP403;Unisex sherpa dropped shoulders quarter zip sweatshirt;Wet Sand;3XL;96268;96263;21/09/2026;180;;SP403_96268_96263;3663639148856
SP404;Unisex sherpa dropped shoulders full zip sweatshirt;Black;XS;96680;96673;18/09/2026;700;;SP404_96680_96673;3663639145381
SP404;Unisex sherpa dropped shoulders full zip sweatshirt;Black;S;96680;96674;18/09/2026;1540;;SP404_96680_96674;3663639145367
SP404;Unisex sherpa dropped shoulders full zip sweatshirt;Black;M;96680;96675;21/09/2026;2808;;SP404_96680_96675;3663639145350
SP404;Unisex sherpa dropped shoulders full zip sweatshirt;Black;XXL;96680;96678;18/09/2026;510;;SP404_96680_96678;3663639145398
SP404;Unisex sherpa dropped shoulders full zip sweatshirt;Forest Khaki;XS;96681;96673;21/09/2026;560;;SP404_96681_96673;3663639148979
SP404;Unisex sherpa dropped shoulders full zip sweatshirt;Wet Sand;M;96684;96675;21/09/2026;2712;;SP404_96684_96675;3663639149013
SP404;Unisex sherpa dropped shoulders full zip sweatshirt;Wet Sand;XL;96684;96677;21/09/2026;1140;;SP404_96684_96677;3663639149037
