REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP220;Men’s linen polo shirt;Black;XXL;92025;92023;133;;SP220_92025_92023;3663938678139
SP220;Men’s linen polo shirt;Black;3XL;92025;92024;122;;SP220_92025_92024;3663938678221
SP220;Men’s linen polo shirt;Cool Blue;S;92026;92019;196;;SP220_92026_92019;3663938677781
SP220;Men’s linen polo shirt;Cool Blue;M;92026;92020;454;;SP220_92026_92020;3663938677873
SP220;Men’s linen polo shirt;Cool Blue;L;92026;92021;410;;SP220_92026_92021;3663938677965
SP220;Men’s linen polo shirt;Cool Blue;XL;92026;92022;295;;SP220_92026_92022;3663938678054
SP220;Men’s linen polo shirt;Cool Blue;XXL;92026;92023;40;;SP220_92026_92023;3663938678146
SP220;Men’s linen polo shirt;Cool Blue;3XL;92026;92024;146;;SP220_92026_92024;3663938678238
SP220;Men’s linen polo shirt;Ivory;S;92027;92019;192;;SP220_92027_92019;3663938677798
SP220;Men’s linen polo shirt;Ivory;M;92027;92020;827;;SP220_92027_92020;3663938677880
SP220;Men’s linen polo shirt;Ivory;L;92027;92021;582;;SP220_92027_92021;3663938677972
SP220;Men’s linen polo shirt;Ivory;XL;92027;92022;500;;SP220_92027_92022;3663938678061
SP220;Men’s linen polo shirt;Ivory;XXL;92027;92023;238;;SP220_92027_92023;3663938678153
SP220;Men’s linen polo shirt;Ivory;3XL;92027;92024;90;;SP220_92027_92024;3663938678245
SP220;Men’s linen polo shirt;Light Olive Green;S;92028;92019;118;;SP220_92028_92019;3663938677804
SP220;Men’s linen polo shirt;Light Olive Green;M;92028;92020;526;;SP220_92028_92020;3663938677897
SP220;Men’s linen polo shirt;Light Olive Green;L;92028;92021;436;;SP220_92028_92021;3663938677989
SP220;Men’s linen polo shirt;Light Olive Green;XL;92028;92022;329;;SP220_92028_92022;3663938678078
SP220;Men’s linen polo shirt;Light Olive Green;XXL;92028;92023;160;;SP220_92028_92023;3663938678160
SP220;Men’s linen polo shirt;Light Olive Green;3XL;92028;92024;125;;SP220_92028_92024;3663938678252
SP220;Men’s linen polo shirt;Navy Blue;S;92029;92019;174;;SP220_92029_92019;3663938677811
SP220;Men’s linen polo shirt;Navy Blue;M;92029;92020;488;;SP220_92029_92020;3663938677903
SP220;Men’s linen polo shirt;Navy Blue;L;92029;92021;426;;SP220_92029_92021;3663938677996
SP220;Men’s linen polo shirt;Navy Blue;XL;92029;92022;315;;SP220_92029_92022;3663938678085
SP220;Men’s linen polo shirt;Navy Blue;XXL;92029;92023;117;;SP220_92029_92023;3663938678177
SP220;Men’s linen polo shirt;Navy Blue;3XL;92029;92024;82;;SP220_92029_92024;3663938678269
SP220;Men’s linen polo shirt;Organic Khaki;S;92030;92019;211;;SP220_92030_92019;3663938677828
SP220;Men’s linen polo shirt;Organic Khaki;M;92030;92020;503;;SP220_92030_92020;3663938677910
SP220;Men’s linen polo shirt;Organic Khaki;L;92030;92021;408;;SP220_92030_92021;3663938678009
SP220;Men’s linen polo shirt;Organic Khaki;XL;92030;92022;286;;SP220_92030_92022;3663938678092
SP220;Men’s linen polo shirt;Organic Khaki;XXL;92030;92023;115;;SP220_92030_92023;3663938678184
SP220;Men’s linen polo shirt;Organic Khaki;3XL;92030;92024;106;;SP220_92030_92024;3663938678276
SP220;Men’s linen polo shirt;Peacock Blue;S;92031;92019;235;;SP220_92031_92019;3663938677835
SP220;Men’s linen polo shirt;Peacock Blue;M;92031;92020;329;;SP220_92031_92020;3663938677927
SP220;Men’s linen polo shirt;Peacock Blue;L;92031;92021;273;;SP220_92031_92021;3663938678016
